codigo,descripcion,familia,desc_familia,grupo_articulo,categoria,color,tipo,unidad,activo
7700149173186,Guardabarro Del HNTR Negro TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149173247,Tanque Hunter RE Rojo Negro TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149177641,Chasis HNTR 350 VIN Mp,1631000001,Materia Prima Chasis,203002,Ckd,,TRANSFORMADO,UND,True
7700149200318,Gpier Ext Der Gris/Bri 125WTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200325,Gpier Ext Izq Gris/Bri 125WTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200332,Gbrro Del Gri/Bri 125W NEW TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200349,Caren Tra Der Gris/Bri 125W TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200356,Caren Tra Izq Gris/Bri 125W TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200363,Caren Traser Gris/Bri 125W TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200370,Caren FarolGri/Bri125W-llV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200387,Cubie Tanq Izq Carbono CR4 TA,1632000000,Integracion Nacional,203002,Integración Nacional,,TRANSFORMADO,UND,True
7700149200394,Chasis SM Negro 125T4 TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149200400,Cubie Tras Izq Carbono CR4 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149200462,Cubie Tanq Der Carbono CR4 TA,1632000000,Integracion Nacional,203002,Integración Nacional,,TRANSFORMADO,UND,True
7700149202749,Cubt Tnq Ex Dr Gold V2 CR4TA,1632000000,Integracion Nacional,203002,Integración Nacional,,TRANSFORMADO,UND,True
7700149202756,Cubt Tnq Ex Iz Gold V2 CR4TA,1632000000,Integracion Nacional,203002,Integración Nacional,,TRANSFORMADO,UND,True
7700149213998,Chasis 300Rally VIN Mp,1631000001,Materia Prima Chasis,203002,Ckd,,TRANSFORMADO,UND,True
7700149220408,Chasis XC15WX VIN Mp,1631000001,Materia Prima Chasis,203002,Ckd,,TRANSFORMADO,UND,True
7700149229852,Cubta Tras Centr Jet14 N/M TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149229890,Cubta Tras Izq Jet14 B/B TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149229920,Gbrro Del Jet14 Ng/B TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149229937,Cubta Tras Der Jet14 N/M TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149229968,Cubta Lat Der Jet14 Gr/M TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149229975,Cubta Frontal Izq Jet14 B/B TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149230001,Cubta Frontal Der Jet14 N/M TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149230018,Cubta Tras Izq Jet14 N/M TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149230094,Visor Jet14 Ng/B TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149230124,Chasis Jet14 TA,1631000001,Materia Prima Chasis,203002,Ckd,,TRANSFORMADO,UND,True
7700149230179,Cubta Frontal Jet14 Gr/M TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149230186,Sillin Retap Jet 14 TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149241021,Tapa LatTras Izq Neg/M 300ACTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149241045,Tapa TCent Neg/M 300AC TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149241052,Tapa Tanq Der Neg/M 300AC TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149241069,Tapa Tanq Izq Neg/M 300AC TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149241090,Tapa  Quilla Gris Izq300ACTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149241106,Tapa  Quilla Gris Der300ACTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149248273,Cubierta Cola Gris/BR TTDS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149248358,Caren Tanq Der Gris/BR TTDS TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149248365,Caren Tanq Izq Gris/BR TTDS TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149259224,Caren Farola Neg/M Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259231,Susp Del Prot Izq G/M Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259248,Susp Del Prot Der G/M Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259255,Cbta Cola Gris/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259262,CbtaTan Izq Gris/M 300RallyTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259279,CbtaTan Der Gris/M 300RallyTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259286,CbtaIzqDec Neg/B 300RallyTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259293,CbtaDerDec Neg/B 300RallyTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259309,Tap Lat izq Gris/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259316,Tap Lat Der Gris/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259323,Guardbarro Gris/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259330,Tanq Gas Gris/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259705,Susp Del Prot Izq N/M Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259712,Susp Del Prot Der N/M Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259729,Cbta Cola Neg/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259736,CbtaTan Izq Neg/M 300RallyTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259743,CbtaTan Der Neg/M 300RallyTA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259750,Tap Lat izq Neg/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259767,Tap Lat Der Neg/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259774,Guardbarro Neg/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149259781,Tanq Gas Neg/M 300Rally TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264938,Caren Tras Izq Gris/B 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264945,Caren Tras Der Gris/B 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264952,Caren Pito Gris/B 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264969,Gpierna Ext Izq Gri/B 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264976,Gpierna Ext Der Gri/B 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264983,Caren Farola Gris/B 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149264990,Caren Pito Gri/Bri FLEX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149265201,Guardab Del Gris/Bri 110NV TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149266871,Chasis AK125CH VIN Mp,1633000000,Terceros,203002,Terceros,,TRANSFORMADO,UND,True
7700149269766,Tapa Lateral Izq N/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269773,Tapa Lateral Der N/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269780,Tanque Gas N/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269797,Tapa Lateral Izq R/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269803,Tapa Lateral Der R/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269810,Tanque Gas R/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269827,Tapa Lateral Izq Gr/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269834,Tapa Lateral Der Gr/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149269841,Tanque Gas Gr/B CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149274920,Sillín Trasero Dyn Pro TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149274937,Sillín confort CR4200 TA,1632000000,Integracion Nacional,203002,Integración Nacional,,TRANSFORMADO,UND,True
7700149274944,Sillín Delantero Dyn Pro TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149274982,Sillin Dynamic K conf 2024 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149275293,Tanque Gas Gris/Bri NKD TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149275309,Guardab Del Gris/Bri NKD TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149276566,Tanque Gas Neg/Are NKD Cla TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149277167,Tanque Gas Gr/Ng NKD EX75 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149288668,Tanque Meteor Matt Green TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149288675,Tapa Lat Der N/Br MG Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149288682,Tapa Lat Izq N/Br MG Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149316637,Sillin CHR TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149316668,Cubta Cola Bla Enduro TTDS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149316675,Cubta Cola N/Br Enduro TTDS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149316682,Tanque Gas Blan/Roj NKD 20A TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323161,CarnFarola Gr/Br TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323178,Pintura Chasis CHR V2 SM TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323185,Pintura Tijera AK125 CHR TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149323192,Pintura Chasis 200 TTRV2 SM TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323208,Pintura Chasis 125 TTRV2 SM TA,1631000001,Materia Prima Chasis,203002,Ckd,,TRANSFORMADO,UND,True
7700149323215,Pintura Chasis CHR SM TA,1631000001,Materia Prima Chasis,203002,Ckd,,TRANSFORMADO,UND,True
7700149323222,Gbarro Del Neg Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323239,CarnFarola Neg Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323246,TapTan Der Neg Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323253,TapTan Izq Neg Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323277,Gbarro Del Gr/Br TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323284,Tanque Gas Bla/Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323291,TapTan Der Gr/Br TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323307,TapTan Izq Gr/Br TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323314,TapTanInf Izq VerTTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323321,TapTanInf Der Ver TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323338,Cinta termica mofle 20 años TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149323345,Gbarro Del Bla/Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323352,CarnFarola Bla/Bri TTRV2 TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149323369,TapTan Der Bla/Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323376,TapTan Izq Bla/Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149323383,Tanque Gas Neg/Bri TTRV2 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149327114,Guardab Del Gr/M AK200CR3 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149327121,Cub Far Der Gr/M AK200CR3 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149327138,Cub Far Izq Gr/M AK200CR3 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149331586,Tapa Cola Camu DS Rally 24 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149338103,Chasis AK150CR4 VIN MP,1633000000,Terceros,203002,Terceros,,TRANSFORMADO,UND,True
7700149338110,Chasis AK250CR4 VIN MP,1633000000,Terceros,203002,Terceros,,TRANSFORMADO,UND,True
7700149340465,TapCola Gri/Bri DS Rally 24 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365208,TapaTras Der NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365222,Tapa Fron Izq GrBr Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
